9,9 3,3 9,3 15,3 21,3 27,3 3,9 15,9 21,9 3,15 9,15 15,15 3,21 9,21 -9,9 -3,3 -9,3 -21,3 -3,9 -15,9 -21,9 -3,15 -9,15 -15,15 -3,21 -9,21 -9,-9 -3,-3 -9,-3 -21,-3 -3,-9 -15,-9 -21,-9 -3,-15 -9,-15 -15,-15 -3,-21 -9,-21 9,-9 3,-3 9,-3 15,-3 21,-3 27,-3 3,-9 15,-9 21,-9 3,-15 9,-15 15,-15 3,-21 9,-21
9,9 1 0.368 0.011 0 0 0 0 0 0 0 0 0 0 0 0.14 0.191 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3,3 0.368 1 0.42 0.015 0 0.253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9,3 0.011 0.42 1 0.296 0 0.053 0.195 0.016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015 0 0 0 0 0 0 0 0 0 0 0
15,3 0 0.015 0.296 1 0.198 0 0.057 0.262 0 0 0.006 0 0 0 0 0.024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015 0 0 0 0 0 0 0 0 0 0
21,3 0 0 0 0.198 1 0 0 0.471 0 0 0.006 0 0.057 0 0 0 0 0.035 0 0 0 0 0 0.028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.168 0 0 0 0 0 0 0 0 0
27,3 0 0.253 0.053 0 0 1 0.122 0 0.104 0 0 0 0 0 0 0 0 0.332 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3,9 0 0 0.195 0.057 0 0.122 1 0.115 0.063 0.191 0.159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15,9 0 0 0.016 0.262 0.471 0 0.115 1 0 0.029 0.272 0.005 0.133 0 0 0 0 0 0 0 0 0.006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21,9 0 0 0 0 0 0.104 0.063 0 1 0.3 0.073 0.109 0.006 0 0 0 0 0 0.017 0 0.165 0.017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3,15 0 0 0 0 0 0 0.191 0.029 0.3 1 0.243 0.124 0.052 0 0 0 0 0 0 0 0.039 0.029 0 0.012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
