9,9 3,3 9,3 15,3 21,3 27,3 3,9 15,9 21,9 3,15 9,15 15,15 3,21 9,21 -9,9 -3,3 -9,3 -21,3 -3,9 -15,9 -21,9 -3,15 -9,15 -15,15 -3,21 -9,21 -9,-9 -3,-3 -9,-3 -21,-3 -3,-9 -15,-9 -21,-9 -3,-15 -9,-15 -15,-15 -3,-21 -9,-21 9,-9 3,-3 9,-3 15,-3 21,-3 27,-3 3,-9 15,-9 21,-9 3,-15 9,-15 15,-15 3,-21 9,-21
9,9 1 0.007 0 0 0 0.076 0 0 0.003 0 0 0 0 0.042 0.004 0.042 0 0.101 0 0 0.099 0.007 0 0.001 0.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3,3 0.007 1 0.085 0.006 0 0.045 0.043 0.004 0.201 0.056 0.01 0.033 0.009 0.016 0 0 0 0 0.009 0 0.007 0.062 0.007 0.074 0.107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9,3 0 0.085 1 0.085 0.009 0.004 0.339 0.048 0.032 0.161 0.067 0.108 0.05 0.001 0 0 0 0 0.042 0 0 0.009 0.036 0.036 0.018 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15,3 0 0.006 0.085 1 0.112 0 0.085 0.378 0.004 0.023 0.136 0.017 0.071 0 0 0 0 0 0.031 0.001 0 0.001 0.034 0.005 0.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21,3 0 0 0.009 0.112 1 0 0.012 0.099 0 0.003 0.025 0.003 0.014 0 0 0 0 0 0.006 0.007 0 0 0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
27,3 0.076 0.045 0.004 0 0 1 0.002 0 0.061 0.009 0 0.005 0 0.192 0 0.005 0 0.02 0 0 0.116 0.062 0 0.015 0.022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3,9 0 0.043 0.339 0.085 0.012 0.002 1 0.096 0.028 0.184 0.187 0.099 0.099 0.001 0 0 0 0 0.06 0 0 0.006 0.053 0.03 0.014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15,9 0 0.004 0.048 0.378 0.099 0 0.096 1 0.003 0.023 0.173 0.015 0.073 0 0 0 0 0 0.025 0.002 0 0 0.028 0.004 0.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21,9 0.003 0.201 0.032 0.004 0 0.061 0.028 0.003 1 0.118 0.011 0.109 0.02 0.022 0 0 0 0 0.012 0 0.019 0.106 0.012 0.199 0.207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3,15 0 0.056 0.161 0.023 0.003 0.009 0.184 0.023 0.118 1 0.102 0.307 0.122 0.003 0 0 0 0 0.04 0 0.001 0.017 0.037 0.089 0.037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9,15 0 0.01 0.067 0.136 0.025 0 0.187 0.173 0.011 0.102 1 0.049 0.28 0 0 0 0 0 0.058 0.001 0 0.002 0.066 0.013 0.005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15,15 0 0.033 0.108 0.017 0.003 0.005 0.099 0.015 0.109 0.307 0.049 1 0.132 0.003 0 0 0 0 0.049 0 0.001 0.021 0.05 0.184 0.054 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3,21 0 0.009 0.05 0.071 0.014 0 0.099 0.073 0.02 0.122 0.28 0.132 1 0 0 0 0 0 0.078 0.001 0 0.003 0.095 0.025 0.009 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9,21 0.042 0.016 0.001 0 0 0.192 0.001 0 0.022 0.003 0 0.003 0 1 0 0.014 0 0.026 0 0 0.143 0.112 0 0.012 0.025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-9,9 0.004 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.041 0 0.023 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-3,3 0.042 0 0 0 0 0.005 0 0 0 0 0 0 0 0.014 0.041 1 0 0.199 0 0 0.017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-9,3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0.011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-21,3 0.101 0 0 0 0 0.02 0 0 0 0 0 0 0 0.026 0.023 0.199 0 1 0 0 0.066 0.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-3,9 0 0.009 0.042 0.031 0.006 0 0.06 0.025 0.012 0.04 0.058 0.049 0.078 0 0 0 0 0 1 0.001 0 0.011 0.422 0.024 0.017 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-15,9 0 0 0 0.001 0.007 0 0 0.002 0 0 0.001 0 0.001 0 0 0 0.011 0 0.001 1 0 0 0.002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-21,9 0.099 0.007 0 0 0 0.116 0 0 0.019 0.001 0 0.001 0 0.143 0 0.017 0 0.066 0 0 1 0.046 0 0.009 0.013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-3,15 0.007 0.062 0.009 0.001 0 0.062 0.006 0 0.106 0.017 0.002 0.021 0.003 0.112 0 0 0 0.002 0.011 0 0.046 1 0.013 0.089 0.215 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-9,15 0 0.007 0.036 0.034 0.007 0 0.053 0.028 0.012 0.037 0.066 0.05 0.095 0 0 0 0 0 0.422 0.002 0 0.013 1 0.027 0.024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-15,15 0.001 0.074 0.036 0.005 0 0.015 0.03 0.004 0.199 0.089 0.013 0.184 0.025 0.012 0 0 0 0 0.024 0 0.009 0.089 0.027 1 0.277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-3,21 0.002 0.107 0.018 0.002 0 0.022 0.014 0.002 0.207 0.037 0.005 0.054 0.009 0.025 0 0 0 0 0.017 0 0.013 0.215 0.024 0.277 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-9,21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.022 0 0 0.293 0.036 0 0.05 0.004 0.048 0.007 0.102 0.01 0.001 0 0.032 0.006 0 0.145 0.022 0.004 0.041 0.006 0
-9,-9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.329 0 0.025 0 0 0 0 0 0 0 0 0.036 0 0 0 0 0.005 0 0 0 0 0 0 0 0
-3,-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.329 1 0 0.011 0 0 0 0 0 0 0 0 0.012 0 0 0 0 0.002 0 0 0 0 0 0 0 0
-9,-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
-21,-3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022 0.025 0.011 0 1 0 0 0.026 0 0 0.001 0 0.002 0.243 0.006 0 0 0 0.184 0 0 0.024 0 0 0.001 0 0
-3,-9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0.003 0.415 0 0.011 0 0 0 0.001 0.007 0.029 0 0.002 0.009 0 0 0.003 0 0.002 0
-15,-9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
